"New Hampshire"
2013
"NEIWPCC- http://neiwpcc.org/our-programs/wetlands-aquatic-species/nebawwg/nqa/"
"New Hampshire  , 2013"

"Total Species:",2225
"Native Species:",1574
"Non-native Species:",651
"Total Mean C:",3.4
"Native Mean C:",4.9

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Carex magellanica",,CAMA12,native,8,,,,"boreal bog sedge"
"Carex magellanica ssp. irrigua",,CAMAI2,native,8,,,,"boreal bog sedge"
"Carex merritt-fernaldii",,CAME12,native,3,,,,"fernalds sedge"
"Carex michauxiana",,CAMI15,native,5,,,,"michauxs sedge"
"Carex muehlenbergii",,CAMU4,native,3,,,,"muhlenbergs sedge"
"Carex nigra",,CANI5,native,3,,,,"smooth black sedge"
"Carex normalis",,CANO,native,4,,,,"greater straw sedge"
"Carex novae-angliae",,CANO4,native,5,,,,"new england sedge"
"Carex oligosperma",,CAOL3,native,7,,,,"fewseed sedge"
"Carex ormostachya",,CAOR5,native,5,,,,"necklace spike sedge"
"Carex ovalis",,CAOV8,non-native,0,,,,"eggbract sedge"
"Carex paleacea",,CAPA29,native,2,,,,"chaffy sedge"
"Carex pallescens",,CAPA17,native,3,,,,"pale sedge"
"Carex panicea",,CAPA30,non-native,0,,,,"grass-like sedge"
"Carex pauciflora",,CAPA19,native,8,,,,"fewflower sedge"
"Carex peckii",,CAPE11,native,6,,,,"pecks sedge"
"Carex pedunculata",,CAPE4,native,6,,,,"longstalk sedge"
"Carex pellita",,CAPE42,native,6,,,,"woolly sedge"
"Carex pensylvanica",,CAPE6,native,4,,,,"pennsylvania sedge"
"Carex plantaginea",,CAPL4,native,8,,,,"plantainleaf sedge"
"Carex platyphylla",,CAPL5,native,6,,,,"broadleaf sedge"
"Carex polymorpha",,CAPO4,native,3,,,,"variable sedge"
"Carex prasina",,CAPR12,native,6,,,,"drooping sedge"
"Carex projecta",,CAPR9,native,2,,,,"necklace sedge"
"Carex pseudocyperus",,CAPS,native,5,,,,"cypress-like sedge"
"Carex radiata",,CARA8,native,6,,,,"eastern star sedge"
"Carex retroflexa",,CARE9,native,7,,,,"reflexed sedge"
"Carex retrorsa",,CARE4,native,4,,,,"knotsheath sedge"
"Carex rosea",,CARO22,native,6,,,,"rosy sedge"
"Carex rostrata",,CARO6,native,7,,,,"blueleaf sedge"
"Carex rostrata var. utriculata",,CAUT,native,4,,,,"northwest territory sedge"
"Carex scabrata",,CASC13,native,6,,,,"eastern rough sedge"
"Carex scirpoidea",,CASC10,native,7,,,,"northern singlespike sedge"
"Carex scoparia",,CASC11,native,2,,,,"broom sedge"
"Carex seorsa",,CASE6,native,6,,,,"weak stellate sedge"
"Carex siccata",,CASI12,native,5,,,,"dryspike sedge"
"Carex silicea",,CASI6,native,8,,,,"beach sedge"
"Carex sparganioides",,CASP3,native,6,,,,"bur-reed sedge"
"Carex spicata",,CASP10,non-native,0,,,,"prickly sedge"
"Carex sprengelii",,CASP7,native,6,,,,"sprengels sedge"
"Carex stipata",,CAST5,native,3,,,,"awlfruit sedge"
"Carex stipata var. stipata",,CASTS3,native,3,,,,"owlfruit sedge"
"Carex striata",,CAST41,native,8,,,,"walters sedge"
"Carex stricta",,CAST8,native,2,,,,"upright sedge"
"Carex swanii",,CASW,native,4,,,,"swans sedge"
"Carex tenera",,CATE3,native,3,,,,"quill sedge"
"Carex tonsa",,CATO10,native,3,,,,"shaved sedge"
"Carex tonsa var. rugosperma",,CATOR,native,3,,,,"parachute sedge"
"Carex torta",,CATO4,native,8,,,,"twisted sedge"
"Carex tribuloides",,CATR7,native,5,,,,"blunt broom sedge"
"Carex trichocarpa",,CATR8,native,6,,,,"hairyfruit sedge"
"Carex trisperma",,CATR10,native,4,,,,"threeseeded sedge"
"Carex trisperma var. billingsii",,CATR10,native,9,,,,"threeseeded sedge"
"Carex tuckermanii",,CATU2,native,6,,,,"tuckermans sedge"
"Carex umbellata",,CAUM4,native,4,,,,"parasol sedge"
"Carex utriculata",,CAUT,native,4,,,,"northwest territory sedge"
"Carex vesicaria",,CAVE6,native,6,,,,"blister sedge"
"Carex vestita",,CAVE9,native,4,,,,"velvet sedge"
"Carex virescens",,CAVI4,native,4,,,,"ribbed sedge"
"Carex viridula",,CAVI5,native,6,,,,"little green sedge"
"Carex vulpinoidea",,CAVU2,native,5,,,,"fox sedge"
"Carex wiegandii",,CAWI7,native,5,,,,"wiegands sedge"
"Carpinus caroliniana",,CACA18,native,5,,,,"american hornbeam"
"Carum carvi",,CACA19,non-native,0,,,,caraway
"Carya alba",,CAAL27,native,6,,,,"mockernut hickory"
"Carya cordiformis",,CACO15,native,6,,,,"bitternut hickory"
"Carya glabra",,CAGL8,native,6,,,,"pignut hickory"
"Carya ovalis",,CAOV3,native,6,,,,"red hickory"
"Carya ovata",,CAOV2,native,5,,,,"shagbark hickory"
"Castanea dentata",,CADE12,native,4,,,,"american chestnut"
"Castilleja coccinea",,CACO17,native,3,,,,"scarlet indian paintbrush"
"Castilleja septentrionalis",,CASE4,native,8,,,,"labrador indian paintbrush"
"Catalpa speciosa",,CASP8,non-native,0,,,,"northern catalpa"
"Caulophyllum giganteum",,CAGI6,native,7,,,,"giant blue cohosh"
"Caulophyllum thalictroides",,CATH2,native,8,,,,"blue cohosh"
"Ceanothus americanus",,CEAM,native,5,,,,"new jersey tea"
"Celastrus orbiculatus",,CEOR7,non-native,0,,,,"oriental bittersweet"
"Celastrus scandens",,CESC,native,8,,,,"american bittersweet"
"Celtis occidentalis",,CEOC,native,7,,,,"common hackberry"
"Cenchrus longispinus",,CELO3,native,3,,,,"mat sandbur"
"Centaurea cyanus",,CECY2,non-native,0,,,,"garden cornflower"
"Centaurea jacea",,CEJA,non-native,0,,,,"brownray knapweed"
"Centaurea montana",,CEMO,non-native,0,,,,"perennial cornflower"
"Centaurea nigra",,CENI2,non-native,0,,,,"lesser knapweed"
"Centaurea nigrescens",,CENI3,non-native,0,,,,"tyrol knapweed"
"Centaurea scabiosa",,CESC2,non-native,0,,,,"greater knapweed"
"Centaurea solstitialis",,CESO3,non-native,0,,,,"yellow star-thistle"
"Centaurea stoebe",,CEST8,non-native,0,,,,"spotted knapweed"
"Cephalanthus occidentalis",,CEOC2,native,4,,,,"common buttonbush"
"Cerastium arvense",,CEAR4,native,2,,,,"field chickweed"
"Cerastium fontanum",,CEFO2,non-native,0,,,,"common mouse-ear chickweed"
"Cerastium fontanum ssp. vulgare",,CEFOV2,non-native,0,,,,"big chickweed"
"Ceratophyllum demersum",,CEDE4,native,6,,,,"coons tail"
"Ceratophyllum echinatum",,CEEC2,native,6,,,,"spineless hornwort"
"Chamaecrista nictitans",,CHNI2,native,4,,,,"sensitive partridge pea"
"Chamaecrista nictitans ssp. nictitans var. nictitans",,CHNIN2,native,2,,,,"partridge pea"
"Chamaecyparis thyoides",,CHTH2,native,7,,,,"atlantic white cedar"
"Chamaedaphne calyculata",,CHCA2,native,6,,,,leatherleaf
"Chamaesyce glyptosperma",,CHGL13,native,2,,,,"ribseed sandmat"
"Chamaesyce maculata",,CHMA15,native,2,,,,"spotted sandmat"
"Chamaesyce nutans",,CHNU9,native,2,,,,eyebane
"Chamaesyce polygonifolia",,CHPO6,native,5,,,,"seaside sandmat"
"Chamaesyce serpens",,CHSE4,non-native,0,,,,"matted sandmat"
"Chamaesyce serpyllifolia",,CHSE6,non-native,0,,,,"thymeleaf sandmat"
"Chamaesyce vermiculata",,CHVE5,native,2,,,,"wormseed sandmat"
"Chelone glabra",,CHGL2,native,5,,,,"white turtlehead"
"Chenopodium album",,CHAL7,non-native,0,,,,lambsquarters
"Chenopodium album var. striatum",,CHALS2,non-native,0,,,,"lateflowering goosefoot"
"Chenopodium ambrosioides",,CHAM,non-native,0,,,,"mexican tea"
"Chenopodium berlandieri var. bushianum",,CHBEB3,native,3,,,,"bushs goosefoot"
"Chenopodium botrys",,CHBO2,non-native,0,,,,"jerusalem oak goosefoot"
"Chenopodium capitatum",,CHCA4,non-native,0,,,,"blite goosefoot"
"Chenopodium foggii",,CHFO3,native,5,,,,"foggs goosefoot"
"Chenopodium glaucum",,CHGL3,non-native,0,,,,"oakleaf goosefoot"
"Chenopodium pratericola",,CHPR5,non-native,0,,,,"desert goosefoot"
"Chenopodium rubrum",,CHRU,native,4,,,,"red goosefoot"
"Chenopodium salinum",,CHSA2,non-native,0,,,,"rocky mountain goosefoot"
"Chenopodium simplex",,CHSI2,native,6,,,,"mapleleaf goosefoot"
"Chenopodium standleyanum",,CHST2,non-native,0,,,,"standleys goosefoot"
"Chenopodium urbicum",,CHUR,non-native,0,,,,"city goosefoot"
"Chimaphila maculata",,CHMA3,native,6,,,,"striped princes pine"
"Chimaphila umbellata",,CHUM,native,6,,,,pipsissewa
"Chrysosplenium americanum",,CHAM2,native,8,,,,"american golden saxifrage"
"Cicer arietinum",,CIAR5,non-native,0,,,,"chick pea"
"Cicuta bulbifera",,CIBU,native,5,,,,"bulblet-bearing water hemlock"
"Cicuta maculata",,CIMA2,native,4,,,,"spotted water hemlock"
"Cicuta maculata var. maculata",,CIMAM,native,4,,,,"spotted water hemlock"
"Cinna arundinacea",,CIAR2,native,6,,,,"sweet woodreed"
"Cinna latifolia",,CILA2,native,4,,,,"drooping woodreed"
"Circaea alpina",,CIAL,native,7,,,,"small enchanters nightshade"
"Circaea lutetiana",,CILU,native,6,,,,"broadleaf enchanters nightshade"
"Cirsium arvense",,CIAR4,non-native,0,,,,"canada thistle"
"Cirsium discolor",,CIDI,native,3,,,,"field thistle"
"Cirsium horridulum",,CIHO2,native,4,,,,"yellow thistle"
"Cirsium horridulum var. horridulum",,CIHOH,native,4,,,,"yellow thistle"
"Cirsium muticum",,CIMU,native,4,,,,"swamp thistle"
"Cirsium palustre",,CIPA6,non-native,0,,,,"marsh thistle"
"Cirsium pumilum",,CIPU4,native,2,,,,"pasture thistle"
"Cirsium vulgare",,CIVU,non-native,0,,,,"bull thistle"
"Cladium mariscoides",,CLMA,native,6,,,,"smooth sawgrass"
"Claytonia caroliniana",,CLCA,native,5,,,,"carolina springbeauty"
"Claytonia perfoliata",,CLPE,non-native,0,,,,"miners lettuce"
"Clematis occidentalis",,CLOC2,native,7,,,,"western blue virginsbower"
"Clematis recta",,CLRE2,non-native,0,,,,"ground virginsbower"
"Clematis terniflora",,CLTE4,non-native,0,,,,"sweet autumn virginsbower"
"Clematis virginiana",,CLVI5,native,4,,,,"devils darning needles"
"Clethra alnifolia",,CLAL3,native,5,,,,"coastal sweetpepperbush"
"Clinopodium vulgare",,CLVU,native,5,,,,"wild basil"
"Clintonia borealis",,CLBO3,native,5,,,,bluebead
"Colchicum autumnale",,COAU4,non-native,0,,,,"autumn crocus"
"Collinsonia canadensis",,COCA4,native,6,,,,richweed
"Collomia linearis",,COLI2,non-native,0,,,,"tiny trumpet"
"Comandra umbellata",,COUM,native,3,,,,"bastard toadflax"
"Comarum palustre",,COPA28,native,6,,,,"purple marshlocks"
"Commelina communis",,COCO3,non-native,0,,,,"asiatic dayflower"
"Conioselinum chinense",,COCH2,native,5,,,,"chinese hemlockparsley"
"Conium maculatum",,COMA2,non-native,0,,,,"poison hemlock"
"Conopholis americana",,COAM,native,6,,,,"american cancer-root"
"Consolida ajacis",,COAJ,non-native,0,,,,"doubtful knights-spur"
"Convallaria majalis",,COMA7,non-native,0,,,,"european lily of the valley"
"Convolvulus arvensis",,COAR4,non-native,0,,,,"field bindweed"
"Conyza canadensis",,COCA5,native,3,,,,"canadian horseweed"
"Coptis trifolia",,COTR2,native,5,,,,"threeleaf goldthread"
"Corallorhiza maculata",,COMA4,native,5,,,,"summer coralroot"
"Corallorhiza odontorhiza",,COOD7,native,6,,,,"autumn coralroot"
"Corallorhiza trifida",,COTR18,native,7,,,,"yellow coralroot"
"Corallorhiza wisteriana",,COWI5,non-native,0,,,,"spring coralroot"
"Coreopsis lanceolata",,COLA5,non-native,0,,,,"lanceleaf tickseed"
"Cornus alternifolia",,COAL2,native,6,,,,"alternateleaf dogwood"
"Cornus amomum",,COAM2,native,4,,,,"silky dogwood"
"Cornus canadensis",,COCA13,native,4,,,,"bunchberry dogwood"
"Cornus florida",,COFL2,native,6,,,,"flowering dogwood"
"Cornus racemosa",,CORA6,native,5,,,,"gray dogwood"
"Cornus rugosa",,CORU,native,6,,,,"roundleaf dogwood"
"Cornus sericea",,COSE16,native,4,,,,"redosier dogwood"
"Cornus sericea ssp. sericea",,COSES,native,6,,,,"redosier dogwood"
"Coronopus didymus",,LEDI4,non-native,0,,,,
"Corydalis aurea",,COAU2,native,3,,,,"scrambled eggs"
"Corydalis sempervirens",,COSE5,native,4,,,,"rock harlequin"
"Corylus americana",,COAM3,native,3,,,,"american hazelnut"
"Corylus cornuta",,COCO6,native,3,,,,"beaked hazelnut"
"Corynephorus canescens",,COCA16,non-native,0,,,,"gray clubawn grass"
"Cosmos bipinnatus",,COBI2,non-native,0,,,,"garden cosmos"
"Crassula aquatica",,CRAQ,native,4,,,,"water pygmyweed"
"Crataegus brainerdii",,CRBR3,native,3,,,,"brainerds hawthorn"
"Crataegus chrysocarpa",,CRCH,native,3,,,,"fireberry hawthorn"
"Crataegus chrysocarpa var. chrysocarpa",,CRCHC2,native,3,,,,"red haw"
"Crataegus dilatata",,CRDI,native,3,,,,"broadleaf hawthorn"
"Crataegus dissona",,CRDI10,native,3,,,,"northern hawthorn"
"Crataegus dodgei",,CRDO3,native,3,,,,"dodges hawthorn"
"Crataegus flabellata",,CRFL,native,3,,,,"fanleaf hawthorn"
"Crataegus holmesiana",,CRHO5,native,3,,,,"holmes hawthorn"
"Crataegus ideae",,CRID,native,3,,,,"concord hawthorn"
"Crataegus intricata",,CRIN3,native,3,,,,"copenhagen hawthorn"
"Crataegus iracunda",,CRIR,native,3,,,,"stolonbearing hawthorn"
"Crataegus jesupii",,CRJE,native,3,,,,"jesups hawthorn"
"Crataegus jonesiae",,CRJO3,native,3,,,,"miss jones hawthorn"
"Crataegus lemingtonensis",,CRLE8,native,3,,,,"lemington hawthorn"
"Crataegus lucorum",,CRLU,native,3,,,,"grove hawthorn"
"Crataegus macrosperma",,CRMA3,native,3,,,,"bigfruit hawthorn"
"Crataegus mollis",,CRMO2,native,3,,,,"downy hawthorn"
"Crataegus monogyna",,CRMO3,non-native,0,,,,"oneseed hawthorn"
"Crataegus pedicellata",,CRPE,native,3,,,,"scarlet hawthorn"
"Crataegus pringlei",,CRPR,native,3,,,,"pringles hawthorn"
"Crataegus pruinosa",,CRPR2,native,3,,,,"waxyfruit hawthorn"
"Crataegus punctata",,CRPU,native,3,,,,"dotted hawthorn"
"Crataegus scabrida",,CRSC80,native,3,,,,"rough hawthorn"
"Crataegus schuettei",,CRSC4,native,3,,,,"schuettes hawthorn"
"Crataegus submollis",,CRSU2,native,3,,,,"quebec hawthorn"
"Crataegus succulenta",,CRSU5,native,3,,,,"fleshy hawthorn"
"Crepis capillaris",,CRCA3,non-native,0,,,,"smooth hawksbeard"
"Crotalaria sagittalis",,CRSA4,native,3,,,,"arrowhead rattlebox"
"Cryptogramma stelleri",,CRST2,native,10,,,,"fragile rockbrake"
"Cryptotaenia canadensis",,CRCA9,native,8,,,,"canadian honewort"
"Cucumis melo",,CUME,non-native,0,,,,cantaloupe
"Cucurbita pepo",,CUPE,non-native,0,,,,"field pumpkin"
"Cuphea viscosissima",,CUVI,native,3,,,,"blue waxweed"
"Cuscuta compacta",,CUCO2,native,4,,,,"compact dodder"
"Cuscuta gronovii",,CUGR,native,4,,,,scaldweed
"Cuscuta pentagona",,CUPE3,native,4,,,,"fiveangled dodder"
"Cyclachaena xanthifolia",,CYXA,non-native,0,,,,"giant sumpweed"
"Cynanchum louiseae",,CYLO11,non-native,0,,,,"louises swallow-wort"
"Cynanchum rossicum",,CYRO8,non-native,0,,,,"european swallow-wort"
"Cynodon dactylon",,CYDA,non-native,0,,,,bermudagrass
"Cynoglossum amabile",,CYAM3,non-native,0,,,,"chinese hounds tongue"
"Cynoglossum officinale",,CYOF,non-native,0,,,,gypsyflower
"Cynoglossum virginianum",,CYVI,native,4,,,,"wild comfrey"
"Cynosurus cristatus",,CYCR,non-native,0,,,,"crested dogstail grass"
"Cyperus acuminatus",,CYAC2,native,3,,,,"tapertip flatsedge"
"Cyperus bipartitus",,CYBI6,native,4,,,,"slender flatsedge"
"Cyperus dentatus",,CYDE2,native,4,,,,"toothed flatsedge"
"Cyperus diandrus",,CYDI3,native,5,,,,"umbrella flatsedge"
"Cyperus erythrorhizos",,CYER2,native,4,,,,"redroot flatsedge"
"Cyperus esculentus",,CYES,native,2,,,,"yellow nutsedge"
"Cyperus filicinus",,CYFI,native,3,,,,"fern flatsedge"
"Cyperus grayi",,CYGR2,native,3,,,,"grays flatsedge"
"Cyperus houghtonii",,CYHO,native,3,,,,"houghtons flatsedge"
"Cyperus lupulinus",,CYLU2,native,3,,,,"great plains flatsedge"
"Cyperus lupulinus ssp. lupulinus",,CYLUL,native,3,,,,"great plains flatsedge"
"Cyperus squarrosus",,CYSQ,native,4,,,,"bearded flatsedge"
"Cyperus strigosus",,CYST,native,3,,,,"strawcolored flatsedge"
"Cypripedium acaule",,CYAC3,native,4,,,,"moccasin flower"
"Cypripedium arietinum",,CYAR5,native,7,,,,"rams head ladys slipper"
"Cypripedium parviflorum var. makasin",,CYPAM3,native,9,,,,"greater yellow ladys slipper"
"Cypripedium parviflorum var. pubescens",,CYPAP3,native,8,,,,"greater yellow ladys slipper"
"Cypripedium reginae",,CYRE6,native,7,,,,"showy ladys slipper"
"Cystopteris bulbifera",,CYBU3,native,8,,,,"bulblet bladderfern"
"Cystopteris fragilis",,CYFR2,native,5,,,,"brittle bladderfern"
"Cystopteris tenuis",,CYTE7,native,5,,,,"upland brittle bladderfern"
"Cytisus scoparius",,CYSC4,non-native,0,,,,"scotch broom"
"Dactylis glomerata",,DAGL,non-native,0,,,,orchardgrass
"Dactylorhiza viridis",,DAVI6,native,6,,,,"longbract frog orchid"
"Dalea candida",,DACA7,non-native,0,,,,"white prairie clover"
"Dalibarda repens",,DARE,native,5,,,,"robin runaway"
"Danthonia compressa",,DACO,native,3,,,,"flattened oatgrass"
"Danthonia spicata",,DASP2,native,3,,,,"poverty oatgrass"
"Daphne mezereum",,DAME3,non-native,0,,,,"paradise plant"
"Dasiphora fruticosa ssp. floribunda",,DAFRF,native,4,,,,"shrubby cinquefoil"
"Datura wrightii",,DAWR2,non-native,0,,,,"sacred thorn-apple"
"Daucus carota",,DACA6,non-native,0,,,,"queen annes lace"
"Decodon verticillatus",,DEVE,native,6,,,,"swamp loosestrife"
"Dennstaedtia punctilobula",,DEPU2,native,3,,,,"eastern hayscented fern"
"Deparia acrostichoides",,DEAC4,native,5,,,,"silver false spleenwort"
"Deschampsia cespitosa",,DECE,native,7,,,,"tufted hairgrass"
"Deschampsia flexuosa",,AVFL2,native,6,,,,"wavy hairgrass"
"Deschampsia flexuosa var. montana",,AVFL2,native,6,,,,"wavy hairgrass"
"Descurainia pinnata",,DEPI,native,7,,,,"western tansymustard"
"Descurainia sophia",,DESO2,non-native,0,,,,"herb sophia"
"Desmodium canadense",,DECA7,native,5,,,,"showy ticktrefoil"
"Desmodium cuspidatum",,DECU,native,4,,,,"largebract ticktrefoil"
"Desmodium glutinosum",,DEGL5,native,5,,,,"pointedleaf ticktrefoil"
"Desmodium marilandicum",,DEMA2,native,5,,,,"smooth small-leaf ticktrefoil"
"Desmodium nudiflorum",,DENU4,native,5,,,,"nakedflower ticktrefoil"
"Desmodium obtusum",,DEOB5,native,5,,,,"stiff ticktrefoil"
"Desmodium paniculatum",,DEPA6,native,5,,,,"panicledleaf ticktrefoil"
"Desmodium perplexum",,DEPE80,native,5,,,,"perplexed ticktrefoil"
"Desmodium rotundifolium",,DERO3,native,5,,,,"prostrate ticktrefoil"
"Dianthus armeria",,DIAR,non-native,0,,,,"deptford pink"
"Dianthus barbatus",,DIBA,non-native,0,,,,sweetwilliam
"Dianthus carthusianorum",,DICA19,non-native,0,,,,clusterhead
"Dianthus deltoides",,DIDE,non-native,0,,,,"maiden pink"
"Dianthus plumarius",,DIPL,non-native,0,,,,"feathered pink"
"Diapensia lapponica",,DILA,native,9,,,,"pincushion plant"
"Dicentra canadensis",,DICA,native,8,,,,"squirrel corn"
"Dicentra cucullaria",,DICU,native,8,,,,"dutchmans breeches"
"Dichanthelium acuminatum",,DIAC2,native,3,,,,"tapered rosette grass"
"Dichanthelium acuminatum var. fasciculatum",,DIACF,native,3,,,,"western panicgrass"
"Dichanthelium acuminatum var. lindheimeri",,DIACL,native,3,,,,"lindheimer panicgrass"
"Dichanthelium boreale",,DIBO,native,4,,,,"northern panicgrass"
"Dichanthelium clandestinum",,DICL,native,3,,,,deertongue
"Dichanthelium depauperatum",,DIDE4,native,4,,,,"starved panicgrass"
"Dichanthelium dichotomum",,DIDI6,native,3,,,,"cypress panicgrass"
"Dichanthelium latifolium",,DILA8,native,3,,,,"broadleaf rosette grass"
"Dichanthelium linearifolium",,DILI2,native,3,,,,"slimleaf panicgrass"
"Dichanthelium meridionale",,DIACA,native,3,,,,"tapered rosette grass"
"Dichanthelium oligosanthes",,DIOL,native,3,,,,"hellers rosette grass"
"Dichanthelium oligosanthes var. scribnerianum",,DIOL,native,3,,,,"hellers rosette grass"
"Dichanthelium sabulorum",,DISA5,native,3,,,,"hemlock rosette grass"
"Dichanthelium sphaerocarpon",,DISP2,native,3,,,,"roundseed panicgrass"
"Dichanthelium spretum",,DIACD,native,4,,,,"eatons rosette grass"
"Dichanthelium xanthophysum",,DIXA,native,3,,,,"slender rosette grass"
"Diervilla lonicera",,DILO,native,5,,,,"northern bush honeysuckle"
"Digitalis grandiflora",,DIGR4,non-native,0,,,,"yellow foxglove"
"Digitalis lanata",,DILA3,non-native,0,,,,"grecian foxglove"
"Digitalis lutea",,DILU,non-native,0,,,,"straw foxglove"
"Digitalis purpurea",,DIPU,non-native,0,,,,"purple foxglove"
"Digitaria cognata",,DICO6,native,3,,,,"fall witchgrass"
"Digitaria filiformis",,DIFI,native,3,,,,"slender crabgrass"
"Digitaria ischaemum",,DIIS,non-native,0,,,,"smooth crabgrass"
"Digitaria sanguinalis",,DISA,non-native,0,,,,"hairy crabgrass"
"Diplazium pycnocarpon",,DIPY,native,7,,,,"glade fern"
"Dipsacus fullonum",,DIFU2,non-native,0,,,,"fullers teasel"
"Dirca palustris",,DIPA9,native,8,,,,"eastern leatherwood"
"Distichlis spicata",,DISP,native,6,,,,saltgrass
"Doellingeria umbellata",,DOUM2,native,4,,,,"parasol whitetop"
"Doellingeria umbellata var. umbellata",,DOUMU,native,4,,,,"parasol whitetop"
"Draba breweri",,DRBR2,native,9,,,,"cushion draba"
"Draba verna",,DRVE2,non-native,0,,,,"spring draba"
"Dracocephalum parviflorum",,DRPA2,non-native,0,,,,"american dragonhead"
"Drosera intermedia",,DRIN3,native,6,,,,"spoonleaf sundew"
"Drosera rotundifolia",,DRRO,native,5,,,,"roundleaf sundew"
"Dryopteris campyloptera",,DRCA3,native,7,,,,"mountain woodfern"
"Dryopteris carthusiana",,DRCA11,native,5,,,,"spinulose woodfern"
"Dryopteris clintoniana",,DRCL,native,7,,,,"clintons woodfern"
"Dryopteris cristata",,DRCR4,native,6,,,,"crested woodfern"
"Dryopteris filix-mas",,DRFI2,native,7,,,,"male fern"
"Dryopteris fragrans",,DRFR,native,10,,,,"fragrant woodfern"
"Dryopteris goldiana",,DRGO,native,7,,,,"goldies woodfern"
"Dryopteris intermedia",,DRIN5,native,3,,,,"intermediate woodfern"
"Dryopteris marginalis",,DRMA4,native,5,,,,"marginal woodfern"
"Dulichium arundinaceum",,DUAR3,native,5,,,,"threeway sedge"
"Dulichium arundinaceum var. arundinaceum",,DUARA,native,6,,,,"three-way sedge"
"Echinochloa crus-galli",,ECCR,non-native,0,,,,barnyardgrass
"Echinochloa frumentacea",,ECFR,non-native,0,,,,"billion-dollar grass"
"Echinochloa muricata",,ECMU2,native,2,,,,"rough barnyardgrass"
"Echinochloa walteri",,ECWA,native,4,,,,"coast cockspur grass"
"Echinocystis lobata",,ECLO,native,3,,,,"wild cucumber"
"Echinops sphaerocephalus",,ECSP,non-native,0,,,,"great globethistle"
"Echium vulgare",,ECVU,non-native,0,,,,"common vipers bugloss"
"Egeria densa",,EGDE,non-native,0,,,,"brazilian waterweed"
"Elaeagnus multiflora",,ELMU,non-native,0,,,,"cherry silverberry"
"Elaeagnus umbellata",,ELUM,non-native,0,,,,"autumn olive"
"Elatine americana",,ELAM3,native,5,,,,"american waterwort"
"Elatine minima",,ELMI,native,5,,,,"small waterwort"
"Eleocharis acicularis",,ELAC,native,4,,,,"needle spikerush"
"Eleocharis diandra",,ELDI2,native,7,,,,"wrights spikerush"
"Eleocharis elliptica",,ELEL4,native,4,,,,"elliptic spikerush"
"Eleocharis erythropoda",,ELER,native,4,,,,"bald spikerush"
"Eleocharis halophila",,ELUN,native,7,,,,"onescale spikerush"
"Eleocharis intermedia",,ELIN,native,4,,,,"matted spikerush"
"Eleocharis nitida",,ELNI,native,5,,,,"quill spikerush"
"Eleocharis obtusa",,ELOB2,native,2,,,,"blunt spikerush"
"Eleocharis olivacea",,ELFLO2,native,3,,,,"bright green spikerush"
"Eleocharis ovata",,ELOV,native,4,,,,"ovate spikerush"
"Eleocharis palustris",,ELPA3,native,3,,,,"common spikerush"
"Eleocharis parvula",,ELPA5,native,7,,,,"dwarf spikerush"
"Eleocharis quadrangulata",,ELQU,native,4,,,,"squarestem spikerush"
"Eleocharis quinqueflora",,ELQU2,native,8,,,,"fewflower spikerush"
"Eleocharis robbinsii",,ELRO,native,7,,,,"robbins spikerush"
"Eleocharis smallii",,ELPA3,native,3,,,,"common spikerush"
"Eleocharis tenuis",,ELTE,native,4,,,,"slender spikerush"
"Eleocharis tuberculosa",,ELTU,native,8,,,,"cone-cup spikerush"
"Eleusine indica",,ELIN3,non-native,0,,,,"indian goosegrass"
"Elodea canadensis",,ELCA7,native,5,,,,"canadian waterweed"
"Elodea nuttallii",,ELNU2,native,4,,,,"western waterweed"
"Elymus canadensis",,ELCA4,native,6,,,,"canada wildrye"
"Elymus hystrix",,ELHY,native,6,,,,"eastern bottlebrush grass"
"Elymus repens",,ELRE4,native,2,,,,quackgrass
"Elymus riparius",,ELRI,native,6,,,,"riverbank wildrye"
"Elymus trachycaulus",,ELTR7,native,2,,,,"slender wheatgrass"
"Elymus trachycaulus ssp. trachycaulus",,ELTRT,native,5,,,,"slender wheatgrass"
"Elymus virginicus",,ELVI3,native,4,,,,"virginia wildrye"
"Elymus wiegandii",,ELWI,native,6,,,,"wiegands wildrye"
"Empetrum eamesii",,EMEA,native,7,,,,"purple crowberry"
"Empetrum eamesii ssp. atropurpureum",,EMEAA,native,7,,,,"purple crowberry"
"Empetrum nigrum",,EMNI,native,7,,,,"black crowberry"
"Epilobium anagallidifolium",,EPAN4,native,8,,,,"pimpernel willowherb"
"Epilobium ciliatum",,EPCI,native,3,,,,"fringed willowherb"
"Epilobium coloratum",,EPCO,native,4,,,,"purpleleaf willowherb"
"Epilobium hirsutum",,EPHI,non-native,0,,,,"codlins and cream"
"Epilobium hornemannii",,EPHO,native,7,,,,"hornemanns willowherb"
"Epilobium lactiflorum",,EPLA3,native,7,,,,"milkflower willowherb"
"Epilobium leptophyllum",,EPLE2,native,3,,,,"bog willowherb"
"Epilobium palustre",,EPPA,native,4,,,,"marsh willowherb"
"Epilobium strictum",,EPST,native,4,,,,"downy willowherb"
"Epipactis helleborine",,EPHE,non-native,0,,,,"broadleaf helleborine"
"Equisetum arvense",,EQAR,native,1,,,,"field horsetail"
"Equisetum fluviatile",,EQFL,native,4,,,,"water horsetail"
